protocol,model,n,substantive_accuracy,integrity_accuracy,joint_accuracy,fault_recall,clean_specificity,misses,fault_trials,miss_rate,miss_rate_upper_95_cp,parse_rate,mean_latency_s,total_tokens,risk_adjusted_utility
ordinary,Qwen/Qwen3-4B,32,0.9375,0.9375,0.875,0.9375,0.9375,1,16,0.0625,0.2639573972885685,1.0,0.276948702796858,8513,0.8125
safety,Qwen/Qwen3-4B,32,0.96875,0.96875,0.9375,0.9375,1.0,1,16,0.0625,0.2639573972885685,1.0,0.276948702796858,10241,0.84375
ordinary,Qwen/Qwen3-8B,32,0.9375,0.875,0.8125,0.8125,0.9375,3,16,0.1875,0.4165722807061528,1.0,0.2596380412345525,8449,0.5625
safety,Qwen/Qwen3-8B,32,0.96875,0.9375,0.90625,0.875,1.0,2,16,0.125,0.34382519922958943,1.0,0.2596380412345525,10177,0.71875
ordinary,Qwen/Qwen3-14B,32,0.96875,1.0,0.96875,1.0,1.0,0,16,0.0,0.1707497229824809,1.0,0.5441857161562211,8529,0.96875
safety,Qwen/Qwen3-14B,32,1.0,1.0,1.0,1.0,1.0,0,16,0.0,0.1707497229824809,1.0,0.5441857161562211,10257,1.0
